JACKBOYS,Post Malone,Billie Eilish,Lizzo,DaBaby,BTS,Harry Styles,Roddy Ricch,Luke Combs,Taylor Swift,Juice WRLD,Ed Sheeran,Maroon 5,Travis Scott,Lewis Capaldi,Khalid,Drake,Jonas Brothers,Halsey,The Beatles,The Weeknd,Pentatonix,Mariah Carey,Bing Crosby,Frank Sinatra,Michael Buble,Andy Williams,Miranda Lambert,Kanye West,YoungBoy Never Broke Again,Selena Gomez,Kane Brown,Lil Nas X,Whiskey Myers,Kevin Gates,Jon Pardi,Sturgill Simpson,Camila Cabello,Shawn Mendes,Tool,Lana Del Rey,Lil Tecca,Young Thug,Ariana Grande,Queen,Tyler Childers,Skillet,Panic! At The Disco,Dan + Shay,Imagine Dragons,The Black Keys,Chance The Rapper,Chris Brown,Cardi B,Thomas Rhett,Elton John,Miley Cyrus,Katy Perry,DJ Khaled,P!nk,Hillsong UNITED,ScHoolboy Q,Brendon Urie,Rob Thomas,Nipsey Hussle,George Strait,Lady Gaga,Motley Crue,Hozier,Bradley Cooper,2 Chainz,Bruno Mars,Weezer,Marshmello,XXXTENTACION,21 Savage,Lauren Daigle,Meek Mill,Lil Baby,6ix9ine,The 1975,EXO,Metro Boomin,Barbra Streisand,Eminem,Lil Wayne,Cher,Logic,Tom Petty And The Heartbreakers,5 Seconds Of Summer,Troye Sivan,Why Don't We,Aretha Franklin,Nicki Minaj,Ella Mai,Kenny Chesney,Halestorm,Daughtry,Florida Georgia Line,Cody Jinks,Demi Lovato,Florence + The Machine,Gorillaz,Guns N' Roses,Ghost,Jason Aldean,Dua Lipa,Kendrick Lamar,Keith Urban,J. Cole,Janelle Monae,Godsmack,Migos,Kacey Musgraves,Chris Stapleton,Rich The Kid,Justin Timberlake,Tory Lanez,SZA,NF,Charlie Puth,Sam Smith,Beyonce,G-Eazy,Portugal. The Man,Garth Brooks,Lil Pump,Niall Horan,Future,Chris Young,Darius Rucker,The Killers,Macklemore,Lil Uzi Vert,Queens Of The Stone Age,Old Dominion,Fifth Harmony,Justin Bieber,Linkin Park,"Tyler, The Creator",JAY-Z,Sam Hunt,The Chainsmokers,Romeo Santos,Rihanna,Prince,311,Daddy Yankee,Bryson Tiller,Shakira,Alessia Cara,Lil Yachty,Incubus,Barry Manilow,Adele,Brad Paisley,twenty one pilots,Metallica,Trey Songz,Rick Ross,Big Sean,Charlie Wilson,Ryan Adams,Alison Krauss,John Mayer,AFI,Rae Sremmurd,George Michael,Sia,Trans-Siberian Orchestra,DJ Snake,Korn,Chris Tomlin,Calvin Harris,Luke Bryan,Bruce Springsteen,Britney Spears,Frank Ocean,Juan Gabriel,Meghan Trainor,Coldplay,Gucci Mane,Major Lazer,Blake Shelton,The Avett Brothers,Red Hot Chili Peppers,Desiigner,Lukas Graham,Eric Clapton,Bob Dylan,Zayn,Fetty Wap,Mike Posner,K. Michelle,Flo Rida,Yo Gotti,Ellie Goulding,David Bowie,Megadeth,One Direction,Eagles,Fall Out Boy,Elle King,Carrie Underwood,Don Henley,Disclosure,Disturbed,Dr. Dre,OMI,Silento,N.W.A,Kip Moore,Jill Scott,Lamb Of God,Rachel Platten,Andy Grammer,WALK THE MOON,Breaking Benjamin,Tori Kelly,Wiz Khalifa,James Taylor,Jason Derulo,A$AP Rocky,Boosie BadAzz,Hillsong Worship,Zac Brown Band,Josh Groban,Tyler Farr,Mark Ronson,Nick Jonas,Kid Rock,Ne-Yo,Iggy Azalea,Tove Lo,Pitbull,Idina Menzel,Led Zeppelin,alt-J,Tony Bennett,Charli XCX,Kem,MAGIC!,OneRepublic,Pharrell Williams,Nico & Vinz
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,28,13,7,5,25,1,1,18,19,9,23,12,9,4,20,23,10,15,3,4,3,2,1,1,2,1,1,2,1,1,3,8,1,2,1,1,10,12,2,1,1,2,17,10,1,1,11,2,22,1,1,1,22,2,1,1,1,1,7,1,1,1,1,1,1,5,1,1,2,1,10,1,1,10,4,3,1,1,3,1,1,1,1,4,1,1,1,2,1,1,1,1,1,1,2,1,1,3,1,6,1,1,1,1,2,5,9,1,1,1,1,4,1,4,1,3,1,2,2,5,4,1,1,3,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13,13,7,5,12,1,1,13,9,4,10,3,5,4,13,12,10,9,3,1,1,1,1,1,1,1,1,1,1,1,2,8,1,1,1,1,2,5,2,1,1,1,9,8,1,1,8,2,7,1,1,1,7,1,1,1,1,1,2,1,1,1,1,1,1,4,1,1,1,1,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,7,7,5,6,1,1,7,7,1,7,2,3,4,7,7,7,3,3,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,2,4,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,5,5,5,4,1,1,5,5,1,5,2,3,4,5,5,5,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,25,12,6,4,27,1,1,17,17,9,21,12,8,3,17,24,9,13,3,6,4,2,1,1,2,1,0,1,0,0,2,7,1,2,1,1,9,13,2,1,1,1,19,10,1,1,11,2,20,1,1,1,20,2,1,1,1,1,5,1,1,1,1,1,1,6,1,1,2,1,10,1,1,10,3,3,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,4,1,1,1,1,2,5,7,1,2,1,1,5,1,3,1,3,1,2,2,3,2,0,0,1,3,1,1,1,0,0,1,1,2,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,2,0,2,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,18,13,7,5,17,1,1,18,13,8,15,8,7,4,14,17,10,9,3,1,1,1,1,1,1,1,1,2,1,1,3,8,1,2,1,1,4,8,2,1,1,1,14,8,1,1,9,2,12,1,1,1,12,1,1,1,1,1,2,1,1,1,1,1,1,4,1,1,1,1,2,1,1,6,2,1,0,0,2,0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,19,9,7,5,17,1,1,13,45,5,36,23,5,4,14,35,8,8,4,22,5,1,1,1,1,1,1,4,1,13,2,6,1,4,1,1,8,20,2,1,1,3,27,4,1,1,6,2,19,1,1,6,14,2,0,0,6,1,7,1,1,1,1,0,1,2,0,5,0,0,15,0,0,6,3,0,1,0,2,0,0,0,1,3,0,0,1,1,4,1,1,1,13,1,3,1,1,9,1,11,1,1,1,1,3,3,9,0,4,0,0,3,2,5,1,4,0,1,1,7,15,9,2,3,2,1,3,11,1,1,1,1,3,1,1,3,14,0,0,0,10,2,0,10,2,0,0,5,0,3,0,0,0,11,1,10,1,0,0,2,0,0,0,1,1,2,1,3,0,0,0,0,1,9,0,0,0,0,21,1,1,1,5,0,0,2,3,1,1,3,13,1,1,3,1,9,1,1,11,1,8,1,1,1,1,1,1,3,2,1,1,1,1,1,2,4,1,1,4,1,4,1,1,1,2,1,1,4,4,1,1,5,3,1,1,1,1,1,1,1,1,0,0,0
1,9,4,1,1,9,1,1,8,5,9,6,5,5,1,6,9,2,5,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,2,0,0,0,0,8,4,0,0,5,1,8,0,0,0,8,0,0,0,0,0,1,0,0,0,0,1,1,4,1,1,2,1,1,1,0,6,1,1,0,0,2,0,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
