Ed Sheeran,Billie Eilish,BTS,Post Malone,Khalid,Lil Nas X,Queen,Shawn Mendes,Lizzo,Luke Combs,Jonas Brothers,Taylor Swift,Drake,Panic! At The Disco,Kane Brown,Ariana Grande,Halsey,Cardi B,Imagine Dragons,Dan + Shay,Madonna,Bruce Springsteen,Bastille,"Tyler, The Creator",DJ Khaled,The National,Rammstein,P!nk,Nipsey Hussle,Anderson .Paak,Billy Ray Cyrus,Lady Gaga,Marshmello,Juice WRLD,Bruno Mars,Lauren Daigle,Chris Stapleton,Bradley Cooper,Travis Scott,Florida Georgia Line,Future,Maggie Rogers,Cody Johnson,XXXTENTACION,Pentatonix,Michael Buble,Kodak Black,Meek Mill,Mariah Carey,Mumford & Sons,Ella Mai,Eminem,twenty one pilots,Lil Wayne,Quavo,Lil Baby,Maroon 5,Carrie Underwood,6LACK,Paul McCartney,Aretha Franklin,Nicki Minaj,Cole Swindell,Camila Cabello,Death Cab For Cutie,Wiz Khalifa,EXO,Jason Aldean,Childish Gambino,5 Seconds Of Summer,The Carters,Christina Aguilera,Nas,Kanye West,Five Finger Death Punch,Kendrick Lamar,J. Cole,Dua Lipa,The Weeknd,Breaking Benjamin,John Prine,Metallica,Migos,Scotty McCreery,Logic,The Decemberists,Justin Timberlake,Brandi Carlile,Charlie Puth,The Cranberries,Sam Smith,Demi Lovato,G-Eazy,Luke Bryan,Beyonce,Garth Brooks,21 Savage,Lil Pump,Portugal. The Man,Blake Shelton,Tom Petty And The Heartbreakers,NF,Marilyn Manson,Lil Uzi Vert,Thomas Rhett,ODESZA,Dustin Lynch,Jack Johnson,Justin Bieber,Niall Horan,Kesha,Sam Hunt,The Chainsmokers,Rihanna,JAY-Z,Selena Gomez,HAIM,Katy Perry,Lady Antebellum,SZA,Miley Cyrus,Alessia Cara,Gorillaz,Harry Styles,Adele,Joey Bada$$,Big Sean,Zayn,Rae Sremmurd,Dropkick Murphys,Sundance Head,A Tribe Called Quest,Leonard Cohen,Sia,Keith Urban,DJ Snake,Gucci Mane,Green Day,OneRepublic,Norah Jones,Calvin Harris,The Beatles,The Head And The Heart,Major Lazer,Skillet,Meghan Trainor,ScHoolboy Q,Blink-182,Chevelle,Fifth Harmony,Nick Jonas,Prince,Desiigner,Kevin Gates,Radiohead,Lukas Graham,Mike Posner,The Lumineers,Deftones,Flo Rida,Joey + Rory,Bryson Tiller,Fetty Wap,Coldplay,Elton John,David Bowie,One Direction,Chris Brown,Rachel Platten,Ellie Goulding,Jordan Smith,Eric Church,Tim McGraw,The Game,Elle King,Janet Jackson,R. City,Bring Me The Horizon,Brett Eldredge,Slayer,Fall Out Boy,OMI,Silento,Dr. Dre,Jason Derulo,Tyrese,WALK THE MOON,Kidz Bop Kids,Muse,Of Monsters And Men,The Rolling Stones,Andy Grammer,Zac Brown Band,David Guetta,Tove Lo,Reba McEntire,Halestorm,Mark Ronson,Hozier,Kelly Clarkson,Beck,Ella Henderson,Iggy Azalea,AC/DC,Idina Menzel,Foo Fighters,Pink Floyd,Bob Seger,You+Me,Jessie J,Lecrae,Jhene Aiko,Charli XCX,Lee Brice,MAGIC!,Nico & Vinz,Pharrell Williams,Troye Sivan,"""Weird Al"" Yankovic",Jason Mraz,John Legend,Rise Against,Trey Songz
44,4,17,18,12,3,5,23,2,11,3,31,35,6,5,25,12,18,24,2,2,1,1,2,5,2,1,6,1,0,0,4,1,5,22,1,9,2,5,7,9,1,1,9,3,2,1,1,1,1,2,5,6,1,1,1,26,3,1,1,1,17,1,8,1,6,1,8,3,4,1,1,1,2,2,14,4,4,20,1,1,5,9,1,2,1,3,1,8,1,17,8,1,12,5,2,2,1,2,3,1,1,1,3,3,1,1,1,12,3,1,12,8,8,1,7,1,8,1,1,1,5,1,2,5,1,3,1,2,1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,16,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,2,6,0,1,1,1,1,1,1,1,1,1,8,4,3,1,7,1,4,2,1,1,1,2,2,1,3,1,1,4,6,1,1,1,6,1,1,1,1,1,1,1,1,1,3,1,2,2,2,1,1,1,1,1,1
4,7,7,7,7,4,7,3,2,7,4,3,6,7,2,7,7,5,7,1,1,1,1,1,1,1,1,2,1,1,1,4,2,3,2,1,1,2,3,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,7,22,20,13,4,9,11,2,15,4,11,18,10,6,16,13,18,21,2,1,1,1,1,2,1,1,5,2,1,1,6,2,8,10,3,6,3,8,4,2,1,1,9,3,3,1,1,3,1,2,4,3,1,1,1,5,1,1,1,1,3,1,6,1,1,1,4,2,1,1,1,1,1,1,7,1,3,4,1,1,1,3,0,1,0,2,1,4,1,3,3,1,1,2,1,0,0,1,0,1,1,1,2,0,0,0,0,2,0,0,1,2,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,7,20,23,14,4,9,11,2,15,4,13,18,10,6,16,14,20,22,2,1,1,1,1,1,1,1,6,2,1,1,6,2,8,11,3,6,3,8,3,1,1,1,10,4,4,1,1,3,1,2,5,3,1,1,1,7,1,1,1,1,3,1,8,1,1,1,4,2,1,1,1,1,1,1,8,2,4,3,1,1,2,3,1,1,1,3,1,5,1,4,4,1,1,1,2,1,1,2,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,7,13,14,16,4,9,7,2,11,4,8,12,9,4,11,11,14,16,2,1,1,1,1,2,2,1,6,2,1,1,5,2,6,7,3,2,2,7,1,1,1,1,6,2,2,1,1,2,1,1,3,0,0,0,0,3,1,1,1,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,1,0,0,0,1,1,5,0,3,4,0,0,0,0,1,1,2,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,4,4,4,4,4,3,2,4,4,3,3,4,2,4,4,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7,9,9,9,4,9,3,2,9,4,3,8,9,3,9,9,7,9,2,1,1,1,1,1,1,1,2,1,1,1,5,2,4,2,2,1,2,5,1,1,1,1,3,2,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,3,11,11,7,3,3,32,2,7,3,21,29,5,4,18,8,10,15,1,1,1,2,2,6,2,1,3,0,0,0,2,0,2,17,0,6,0,2,5,10,0,0,6,4,1,1,0,0,0,0,1,14,0,0,0,11,1,0,0,1,5,1,4,1,3,1,5,3,1,1,1,1,2,2,10,4,2,20,1,1,5,8,1,2,1,3,0,5,0,4,4,0,3,6,1,1,0,1,2,1,1,1,3,3,1,1,1,20,3,1,11,13,13,1,10,1,4,1,1,1,8,1,2,14,1,2,3,3,1,1,1,1,5,1,3,1,1,1,1,2,1,1,1,1,8,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,3,7,2,1,1,5,2,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,7,15,15,11,4,9,7,2,15,4,8,14,10,4,15,9,13,15,2,1,1,1,1,1,1,1,2,1,1,1,6,2,8,3,3,1,3,8,3,1,1,1,8,2,2,1,1,2,1,2,2,2,1,1,1,5,1,1,1,1,2,1,2,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
